M,AoA,Cl,Cd,Cp
0.727928,2.449037,0.740129,0.01333,-0.91155
0.736393,2.389265,0.736667,0.015423,-1.218775
0.731969,2.251332,0.709717,0.013156,-1.122496
0.735015,2.388274,0.736197,0.014977,-1.21458
0.725872,2.448004,0.73706,0.012857,-0.697603
0.721882,2.564357,0.751311,0.012702,-0.599242
0.729243,2.176036,0.691961,0.012159,-0.801678
0.734136,1.964393,0.660643,0.012062,-1.072988
0.731363,2.012413,0.665423,0.011775,-0.870835
0.728786,2.614255,0.769209,0.014712,-1.107719
0.726741,1.887703,0.633946,0.01077,-0.663396
0.726011,2.19676,0.690496,0.011721,-0.616248
0.724361,2.281824,0.703299,0.011824,-0.615351
0.732205,2.056518,0.675187,0.012134,-0.9971
0.729013,2.295714,0.713965,0.012721,-0.892649
0.727994,2.580347,0.763591,0.01425,-1.010584
0.729471,2.35844,0.725778,0.013179,-0.983151
0.735867,2.556189,0.764529,0.016674,-1.248297
0.72912,1.98155,0.655887,0.011307,-0.652283
0.732072,2.558255,0.762953,0.015344,-1.228803
0.725274,2.51351,0.747894,0.0131,-0.683122
0.733317,1.913417,0.6501,0.011674,-0.976848
0.720082,2.360993,0.709941,0.011586,-0.667494
0.728124,2.274054,0.708268,0.012426,-0.771577
0.729566,2.22374,0.701677,0.012455,-0.885346
0.727017,2.050053,0.665096,0.011293,-0.624995
0.729846,1.909636,0.643561,0.01114,-0.659962
0.745082,2.537163,0.760247,0.020221,-1.245445
0.729036,2.274923,0.710291,0.012615,-0.878665
0.736892,2.125506,0.693065,0.01369,-1.170492
0.733366,2.145893,0.693014,0.01287,-1.127022
0.731093,2.130858,0.686637,0.01229,-0.95141
0.726341,2.382709,0.725497,0.012623,-0.681253
0.724012,1.845419,0.620786,0.01051,-0.718672
0.724369,2.120062,0.673282,0.01124,-0.649472
0.728679,2.108918,0.678935,0.011757,-0.684556
0.728793,2.171268,0.690482,0.012056,-0.746694
0.721413,2.35062,0.710634,0.011701,-0.647596
0.725321,2.318826,0.711838,0.012128,-0.61461
0.724498,2.454901,0.735798,0.012633,-0.616015
0.737386,2.276318,0.718526,0.014892,-1.20102
0.730898,2.254997,0.709452,0.01291,-1.037471
0.726652,2.279276,0.706804,0.012177,-0.651281
0.731846,2.491158,0.750579,0.014703,-1.202539
0.72882,2.320935,0.718214,0.012813,-0.894262
0.732045,2.085903,0.68032,0.012253,-1.008836
0.74015,2.525133,0.760147,0.018061,-1.246417
0.728582,2.333978,0.72032,0.012832,-0.88402
0.734696,1.78703,0.628563,0.011373,-0.994556
0.73604,2.177495,0.700895,0.013782,-1.176677
0.727127,2.168427,0.687282,0.011769,-0.63302
0.735283,1.966352,0.662761,0.0123,-1.10856
0.725672,2.557049,0.756388,0.013447,-0.755004
0.723831,2.468403,0.736987,0.01257,-0.604155
0.735054,2.533528,0.760142,0.016164,-1.242271
0.731415,2.23479,0.706148,0.012922,-1.077386
0.723725,2.771517,0.791517,0.014473,-0.701661
0.72181,2.380991,0.717148,0.011864,-0.634094
0.729895,2.181301,0.694463,0.012306,-0.880546
0.728985,2.285956,0.712205,0.012663,-0.88272
0.73201,2.542848,0.76022,0.015197,-1.224094
0.731648,2.199365,0.700177,0.012776,-1.070003
0.723214,2.640487,0.767637,0.013404,-0.618737
0.728476,2.362486,0.725339,0.01297,-0.896079
0.727805,2.187073,0.691681,0.011955,-0.670442
0.725537,2.195679,0.689539,0.01165,-0.616984
0.721484,2.424207,0.724599,0.011991,-0.630434
0.730604,2.137491,0.687209,0.012229,-0.908786
0.732694,2.422621,0.740373,0.014494,-1.202052
0.721061,2.47694,0.733624,0.012148,-0.626283
0.719533,1.968965,0.63568,0.010568,-0.731534
0.725168,2.006474,0.653488,0.010966,-0.663257
0.726685,2.429108,0.734631,0.012936,-0.757421
0.728652,2.278399,0.71053,0.012544,-0.857372
0.731067,2.146293,0.689983,0.012355,-0.959009
0.73189,2.393628,0.734746,0.014049,-1.178117
0.724814,2.31768,0.710851,0.012042,-0.610278
0.727972,2.413628,0.733984,0.013137,-0.893944
0.732888,1.946655,0.655558,0.011746,-0.963409
0.732377,2.412392,0.738515,0.014329,-1.195279
0.729761,2.046338,0.669096,0.011659,-0.73341
0.731663,2.285064,0.71539,0.013289,-1.125233
0.738581,2.247691,0.714436,0.015072,-1.198637
0.730055,2.224474,0.702497,0.012552,-0.927329
0.733259,2.743198,0.793812,0.017462,-1.278074
